white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
DJA,BolagasinovB,2113,1861,1-0,Philidor Defense: Exchange Variation,C41,https://lichess.org/yA3nQBaQ,600+0,Normal,,,blitz,2278.0,2141.0,,,18624,1667,17750,,,rapid,,,,,953,92,2158
rsepulveda64,xadrezinho,1534,1470,1-0,Sicilian Defense,B50,https://lichess.org/ROtBzIqC,1200+0,Time forfeit,,,puzzle,,,,,56,4,76,,,blitz,,1539.0,,,2895,311,4159
gatoclon,diemerio,1639,1612,1/2-1/2,Bird Opening,A02,https://lichess.org/IBVV9pdk,180+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,2788,181,5408
tolga48,viy-izmail,1942,1931,0-1,Philidor Defense #3,C41,https://lichess.org/6FwSk5jy,900+0,Normal,,,blitz,,2129.0,,,14420,1459,10226,,,puzzle,,,,,947,110,534
LegalMafia,ropivicaine,1427,1500,0-1,Russian Game: Three Knights Game,C42,https://lichess.org/jTMsMfoy,60+0,Time forfeit,,,puzzle,,,,,111,9,333,,,blitz,,1829.0,,,11560,889,11705
aliranjbar1394,toz123,1713,1704,0-1,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/4umxIRD6,300+0,Normal,,,rapid,,,,,1182,103,1105,,,puzzle,,,,,1203,53,1036
lostintravel,halastaban,1523,1554,0-1,Scotch Game,C45,https://lichess.org/Ck3MS8xR,300+0,Normal,,,blitz,,,,,3937,427,6144,,,blitz,,1658.0,,,8992,1048,12337
stevenjan17,tsarcastic,1902,1935,1-0,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",B35,https://lichess.org/OtnaHtX1,300+4,Normal,,,unknown,,,,,0,0,0,,,bullet,2237.0,,,,2490,232,2115
enielson,chesspiritu,1743,1745,1-0,English Opening: Agincourt Defense,A13,https://lichess.org/6miX793h,900+0,Normal,,,rapid,,,,,4971,629,4671,,,bullet,1836.0,1616.0,1870.0,,7975,587,8534
Charles7676,kenanchess,1343,1667,0-1,Queen's Pawn Game: Chigorin Variation,D01,https://lichess.org/cRSQNZVd,-,Normal,,,rapid,,,,,19,2,75,,,blitz,,,,,5018,399,5077
kiki06,Raizada,1755,1730,0-1,Sicilian Defense,B50,https://lichess.org/wqtepDoa,900+0,Normal,,,puzzle,,,,,145,7,127,,,rapid,,,,,584,54,547
